"id";"id_pegawai";"kode_jabatan";"jenis";"jumlah";"valid_from";"valid_to"
1711;PGW200;JB04;GAJI POKOK;1.601E7;2000-01-01;2010-12-31
1087;PGW200;JB03;GAJI POKOK;1.5E7;2011-01-01;2019-12-31
1114;PGW200;JB03;GAJI POKOK;5005000.0;2020-01-01;
13;PGW199;JB01;GAJI POKOK;1005000.0;2020-01-01;
741;PGW199;JB02;GAJI POKOK;6010000.0;2000-01-01;2010-12-31
724;PGW199;JB02;GAJI POKOK;6000000.0;2011-01-01;2019-12-31
1485;PGW198;JB04;GAJI POKOK;8005000.0;2000-01-01;2010-12-31
1655;PGW198;JB04;GAJI POKOK;8005000.0;2020-01-01;
621;PGW198;JB02;GAJI POKOK;3000000.0;2011-01-01;2019-12-31
211;PGW197;JB01;GAJI POKOK;2000000.0;2011-01-01;2019-12-31
978;PGW197;JB03;GAJI POKOK;5005000.0;2020-01-01;
932;PGW197;JB03;GAJI POKOK;1.5015E7;2000-01-01;2010-12-31
364;PGW196;JB01;GAJI POKOK;2010000.0;2000-01-01;2010-12-31
1511;PGW196;JB04;GAJI POKOK;8000000.0;2011-01-01;2019-12-31
814;PGW196;JB02;GAJI POKOK;3005000.0;2020-01-01;
1784;PGW195;JB04;GAJI POKOK;8005000.0;2000-01-01;2010-12-31
302;PGW195;JB01;GAJI POKOK;3000000.0;2011-01-01;2019-12-31
1496;PGW195;JB04;GAJI POKOK;8005000.0;2020-01-01;
1104;PGW194;JB03;GAJI POKOK;1.5E7;2011-01-01;2019-12-31
1179;PGW194;JB03;GAJI POKOK;1.001E7;2000-01-01;2010-12-31
204;PGW194;JB01;GAJI POKOK;1005000.0;2020-01-01;
1263;PGW193;JB03;GAJI POKOK;5000000.0;2011-01-01;2019-12-31
1607;PGW193;JB04;GAJI POKOK;2.4015E7;2020-01-01;
1320;PGW193;JB03;GAJI POKOK;5005000.0;2000-01-01;2010-12-31
1460;PGW192;JB04;GAJI POKOK;1.601E7;2000-01-01;2010-12-31
